,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
9798,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Prince Sultan Military Medical City,1
9799,2019,Tabuk,General Directorate of Health Affairs in Tabuk Region,Ministry of Health,1
9800,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,"King Faisal Specialist Hospital & Research Centre, Jeddah",1
9801,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Ministry of Interior Medical Services,1
9802,2021,Hofuf,King Fahad Hospital in Hofuf,Ministry of Defense / Personal Contract,1
9803,2019,Tabuk,King Khalid Civil Hospital in Tabuk,Ministry of Defense / Personal Contract,1
9804,2019,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Defense / Land Forces,1
9805,2021,Hofuf,King Fahad Hospital in Hofuf,Imam Abdul Rahman Bin Faisal University,1
9806,2019,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Defense / Personal Contract,1
9807,2021,Hail,The joint training program in Hail,Ministry of Health,1
9808,2021,Hail,King Khalid Hospital in Hail,University of Hail,1
9809,2021,Hail,King Khalid Hospital in Hail,Personal Contract,1
9810,2019,Tabuk,"Joint training program in the Western Region, Tabuk",university of tabuk,1
9811,2019,Jeddah,Dr. Samir Abbas Hospital in Jeddah,Personal Contract,1
9812,2019,Jeddah,Directorate of Health Affairs in Jeddah Governorate,Personal Contract,1
9813,2020,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Personal Contract,1
9814,2021,Buraidah,Regional Dental Center in Buraidah,Qassim University,1
9815,2019,Dammam,Security Forces Hospital in Dammam,Ministry of Defense Medical Services,1
9816,2021,Dammam,Dammam Medical Complex,Ministry of Interior,1
9817,2021,Buraidah,The program of the Ministry of Health in Al-Qassim,Saudi Red Crescent Authority,1
9818,2021,Buraidah,The program of the Ministry of Health in Al-Qassim,Ministry of Defense / Personal Contract,1
9819,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Imam Mohammad Ibn Saud Islamic University,1
9820,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Jazan University,1
9821,2019,Dammam,Saud AlBabtain Cardiac Center in Dammam,King Faisal University,1
9822,2019,Dammam,Saud AlBabtain Cardiac Center in Dammam,Imam Abdul Rahman Bin Faisal University,1
9823,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Faisal Medical City for Southern Regions,1
9824,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,"King Saud Hospital, Unaizah",1
9825,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Saud Medical City in Riyadh,1
9826,2020,Abha,The Medical City at King Khalid University,King Khalid University,1
9827,2020,Abha,The Medical City at King Khalid University,Ministry of Defense / Personal Contract,1
9828,2019,Dammam,Maternity and Children Hospital in Dammam,Al Jouf University,1
9829,2019,Dammam,King Fahd Specialist Hospital in Dammam,برنامج الخدمات الصحية للهيئة الملكية بالجبيل RCH,1
9830,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Saud University,1
9831,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Defense,1
9832,2020,Abha,General Directorate of Health Affairs in Aseer Region,University of Jeddah ,1
9833,2020,Abha,General Directorate of Health Affairs in Aseer Region,University of Bisha ,1
9834,2021,Dammam,Dammam Medical Complex,Personal Contract,1
9835,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Ministry of Defense / Land Forces,1
9836,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Majmaah University,1
9837,2019,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Ministry of Defense / Personal Contract,1
9838,2019,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,"King Abdulaziz Hospital for National Guards, Al Hassa",1
9839,2019,Dhahran,Eye Specialist Hospital in Dhahran,Personal Contract,1
9840,2021,Dammam,Eastern Health Cluster,Bahrain Ministry of Health,1
9841,2019,Dhahran,Eye Specialist Hospital in Dhahran,Imam Abdulrahman Bin Faisal University,1
9842,2019,Dhahran,Eye Specialist Hospital in Dhahran,Imam Abdul Rahman Bin Faisal University,1
9843,2019,Dammam,Security Forces Hospital in Dammam,Ministry of Interior / General Intelligence,1
9844,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,King Saud Medical City in Riyadh,1
9845,2020,Abha,General Directorate of Health Affairs in Aseer Region,King Saud Medical City in Riyadh,1
9846,2021,Dammam,Dammam Regional Laboratory and Blood Bank,Ministry of Health,1
9847,2021,Dammam,Dammam Medical Complex,Saud Al Babtain Cardiac Center,1
9848,2020,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Interior,1
9849,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Personal Contract,1
9850,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Prince Sultan Military Medical City,1
9851,2020,Abha,General Directorate of Health Affairs in Aseer Region,Najran University,1
9852,2019,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Interior,1
9853,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,1
9854,2019,Jeddah,Directorate of Health Affairs in Jeddah Governorate,"King Abdulaziz Medical City for National Guard, Jeddah",1
9855,2019,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Defense Medical Services,1
9856,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Bahrain Ministry of Health,1
9857,2019,Dammam,"Joint training program in the eastern region, Dammam",Ministry of Defense / Personal Contract,1
9858,2019,Dammam,"Joint training program in the eastern region, Dammam",Imam Abdul Rahman Bin Faisal University,1
9859,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Imam Abdul Rahman Bin Faisal University,1
9860,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,Ministry of Defense Medical Services,1
9861,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Dr. Sulaiman Al Habib Hospital - Takhassusi,1
9862,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Imam Mohammad Ibn Saud Islamic University,1
9863,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,1
9864,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Ministry of Interior,1
9865,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,King Saud University,1
9866,2019,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Ministry of Defense Medical Services,1
9867,2019,Dammam,Forensic Medicine Center in Dammam,وزارة الدفاع - البحرين,1
9868,2021,Buraidah,Buraidah Central Hospital in Buraidah,Ministry of Defense / Air Force,1
9869,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,"King Fahad Specialist Hospital, Damam",1
9870,2019,Dammam,Forensic Medicine Center in Dammam,Ministry of Defense Medical Services,1
9871,2019,Dammam,Forensic Medicine Center in Dammam,Ministry of Defense / Personal Contract,1
9872,2021,Buraidah,Buraidah Central Hospital in Buraidah,King Fahad Medical City in Riyadh,1
9873,2021,Buraidah,Maternity and Pediatric Hospital in Buraidah,Personal Contract,1
9874,2021,Buraidah,Prince Sultan Cardiac Center in Buraidah,Prince Mohammed Bin Abdulaziz Hospital,1
9875,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Alfaisal University,1
9876,2019,Dammam,JointProgram for Prosthodontics - Dammam,Unknown,1
9877,2019,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Defense / Personal Contract,1
9878,2019,Dammam,King Fahd Specialist Hospital in Dammam,Kuwait Ministry of Health,1
9879,2019,Dammam,King Fahd Specialist Hospital in Dammam,King Hamad University Hospita,1
9880,2019,Dammam,King Fahd Specialist Hospital in Dammam,King Faisal University,1
9881,2021,Buraidah,Regional Dental Center in Buraidah,Ministry of Interior,1
9882,2019,Dammam,King Fahd Specialist Hospital in Dammam,King Fahad Medical City in Riyadh,1
9883,2019,Dammam,King Fahd Specialist Hospital in Dammam,Imam Abdul Rahman Bin Faisal University,1
9884,2021,Buraidah,Qassim health Cluster,Unknown,1
9885,2020,Al-Ahsa,Alahsa Health Cluster,Unknown,1
9886,2021,Buraidah,Qassim health Cluster,Ministry of Health,1
9887,2020,Al-Ahsa,Al Ahsa Specialized Dental Center,Unknown,1
9888,2020,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",Ministry of Health,1
9889,2020,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",Unknown,1
9890,2019,Dammam,JointProgram for Prosthodontics - Dammam,Ministry of Defense Medical Services,1
9891,2020,Al-Ahsa,Alahsa Health Cluster,Ministry of Health,1
9892,2020,Al-Ahsa,Alahsa Health Cluster,Personal Contract,1
9893,2020,Abha,General Directorate of Health Affairs in Aseer Region,King Abdulaziz University,1
9894,2021,Dammam,Eastern Health Cluster,Dr. Sulaiman Al Habib Hospital - Takhassusi,1
9895,2019,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,King Faisal Medical City for Southern Regions,1
9896,2020,Abha,General Directorate of Health Affairs in Aseer Region,Armed Forces Medical Services,1
9897,2019,Hofuf,Prince Sultan Center for Cardiac Diseases and Surgery in Hofuf,Ministry of Health,1
9898,2021,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,Ministry of Defense / Personal Contract,1
9899,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Ministry of Defense Medical Services,1
9900,2021,Dammam,King Fahd Specialist Hospital in Dammam,King Saud Medical City in Riyadh,1
9901,2021,Dammam,King Fahd Specialist Hospital in Dammam,King Hamad University Hospita,1
9902,2021,Dammam,King Fahd Specialist Hospital in Dammam,Bahrain Ministry of Health,1
9903,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,"king AbdulAziz Specialist Hospital, Taif",1
9904,2019,Unknown - Saudi Arabia,Joint Training Program in the Eastern Province,Ministry of Health,1
9905,2021,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,Ministry of Health,1
9906,2021,Riyadh,Medical Center at King Fahd Security College in Riyadh,Ministry of Defense Medical Services,1
9907,2021,Riyadh,Medical Center at King Fahd Security College in Riyadh,Ministry of Health,1
9908,2019,Unknown - Saudi Arabia,JointProgram for Psychiatry in East,Personal Contract,1
9909,2019,Hail,King Khalid Hospital in Hail,University of Hail,1
9910,2021,Dammam,"Joint training program in the eastern region, Dammam",Imam Abdul Rahman Bin Faisal University,1
9911,2019,Hail,King Khalid Hospital in Hail,Personal Contract,1
9912,2021,Riyadh,Medical City of King Saud University in Riyadh,Imam Abdulrahman Bin Faisal University,1
9913,2019,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,King Saud University,1
9914,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,King Abdulaziz Medical City for National Guard in Riyadh,1
9915,2021,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,"King Fahad Specialist Hospital, Damam",1
9916,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,"King Abdulaziz Hospital for National Guards, Al Hassa",1
9917,2019,Taif,The program of the Ministry of Health in Taif ,Personal Contract,1
9918,2019,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Taibah University,1
9919,2019,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",1
9920,2019,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Personal Contract,1
9921,2019,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Ministry of Defense Medical Services,1
9922,2019,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,"king AbdulAziz Specialist Hospital, Taif",1
9923,2019,Taif,The program of the Ministry of Health in Taif ,Ministry of Defense,1
9924,2021,Riyadh,King Saud Medical City in Riyadh,Presidency of State Security,1
9925,2021,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Interior,1
9926,2019,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Bahrain Ministry of Health,1
9927,2021,Riyadh,King Saud Medical City in Riyadh,Umm Al Qura University,1
9928,2021,Riyadh,King Saud Medical City in Riyadh,University of Bisha ,1
9929,2019,Taif,The program of the Ministry of Health in Taif ,"king AbdulAziz Specialist Hospital, Taif",1
9930,2019,Unaizah,King Saud Hospital in Unaizah,"King Saud Hospital, Unaizah",1
9931,2021,Riyadh,King Saud Medical City in Riyadh,"king AbdulAziz Specialist Hospital, Taif",1
9932,2019,Unaizah,King Saud Hospital in Unaizah,Personal Contract,1
9933,2021,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Defense Medical Services,1
9934,2021,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Ministry of Interior,1
9935,2021,Riyadh,Medical City of King Saud University in Riyadh,"King Fahad Specialist Hospital, Damam",1
9936,2019,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,Unknown,1
9937,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,King Faisal University,1
9938,2021,Riyadh,Medical City of King Saud University in Riyadh,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",1
9939,2021,Dammam,Eastern Health Cluster,Kuwait Ministry of Health,1
9940,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense / Air Force,1
9941,2021,Riyadh,Medical City of King Saud University in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,1
9942,2019,Yanbu,The program of the Ministry of Health Yanbu,Ministry of Interior,1
9943,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense,1
9944,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Kuwait Ministry of Health,1
9945,2019,Yanbu,The program of the Ministry of Health Yanbu,Personal Contract,1
9946,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Interior / General Intelligence,1
9947,2019,Yanbu,The program of the Ministry of Health Yanbu,"Royal Commission Medical Center, Yanbu",1
9948,2021,Riyadh,Medical City of King Saud University in Riyadh,Saudi Red Crescent Authority,1
9949,2021,Riyadh,Medical City of King Saud University in Riyadh,Security Forces Hospital - Riyadh,1
9950,2021,Riyadh,Medical City of King Saud University in Riyadh,University of Bisha ,1
9951,2021,Riyadh,Medical City of King Saud University in Riyadh,وزارة الدفاع - البحرين,1
9952,2021,Dammam,Eastern Health Cluster,King Abdulaziz Medical City for National Guard in Riyadh,1
9953,2021,Riyadh,National CARE Hospital in Riyadh,Ministry of Defense Medical Services,1
9954,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Interior,1
9955,2021,Dammam,Forensic Medicine Center in Dammam,Ministry of Defense / Personal Contract,1
9956,2021,Riyadh,Medical City of King Saud University in Riyadh,King Hamad University Hospita,1
9957,2019,Dubai,Rashed Hospital in Dubai,Ministry of Health,1
9958,2019,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Ministry of Health,1
9959,2019,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,Ministry of Defense Medical Services,1
9960,2019,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,Ministry of Defense / Personal Contract,1
9961,2019,Dubai,Rashed Hospital in Dubai,Security Forces Hospital - Riyadh,1
9962,2019,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,Personal Contract,1
9963,2019,Dubai,Rashed Hospital in Dubai,Private Sector,1
9964,2021,Riyadh,Medical City of King Saud University in Riyadh,Majmaah University,1
9965,2021,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,King Abdulaziz Medical City for National Guard in Riyadh,1
9966,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Prince Mohammed Bin Abdulaziz Hospital,1
9967,2019,Unknown - Saudi Arabia,The joint program in the Central and Western region,Ministry of National Guard,1
9968,2019,Dubai,Al Jalila Pediatric Hospital in Dubai,شركة أبوظبي للخدمات الصحية- صحة,1
